編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUPMLLKMHMFFCT17CA,,22.96,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPVPMLLKMHMFFCT27CA,,39.60,見其他登記事項,見其他登記事項,105年11月4日,七層,七層
RPVPMLLKMHMFFCT27CA,,23.50,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPWPMLLKMHMFFCT37CA,,38.12,見其他登記事項,見其他登記事項,105年11月4日,七層,二層
RPWPMLLKMHMFFCT37CA,,22.68,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPXPMLLKMHMFFCT47CA,,39.60,見其他登記事項,見其他登記事項,105年11月4日,七層,三層
RPXPMLLKMHMFFCT47CA,,23.50,見其他登記事項,見其他登記事項,105年11月4日,七層,
RPRNMLTLLHMFFCT47CA,21,111.82,住家用,鋼筋混凝土造,85年1月11日,三層,一層 二層 三層
RPTNMLTLLHMFFCT67CA,23,92.95,住家用,鋼筋混凝土造,83年6月25日,十一層,六層
RPTNMLTLLHMFFCT67CA,23,41.55,見其他登記事項,鋼筋混凝土造,83年6月25日,十一層,
RPQNMLKMLHMFFCT56CA,23,82.70,住家用,鋼筋混凝土造,82年12月28日,五層,四層
RPQNMLKMLHMFFCT56CA,23,18.76,見其他登記事項,鋼筋混凝土造,82年12月28日,五層,
RPVNMLLLLHMFFAT86CA,17,99.38,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,十層
RPVNMLLLLHMFFAT86CA,17,52.81,見其他登記事項,鋼筋混凝土造,88年12月4日,十四層,
RPWNMLLLLHMFFAT96CA,33,84.07,國民住宅,鋼筋混凝土造,73年3月16日,五層,四層
RPWNMLLLLHMFFAT96CA,33,11.11,共有部份,鋼筋混凝土造,73年3月16日,,
RPSOMLLLLHMFFAT66CA,34,73.04,住家用,鋼筋混凝土造,72年3月15日,五層,五層
RPSOMLLLLHMFFAT66CA,34,.00,見其他登記事項,鋼筋混凝土造,72年5月16日,,
RPSOMLLLLHMFFAT66CA,34,.00,見其他登記事項,鋼筋混凝土造,72年3月15日,,
RPTOMLLLLHMFFAT76CA,23,90.17,住家用,鋼筋混凝土造,82年11月25日,五層,三層
RPTOMLLLLHMFFAT76CA,23,30.95,見其他登記事項,鋼筋混凝土造,82年11月25日,五層,
RPPOMLKLLHMFFAT88CA,17,105.01,國民住宅,鋼筋混凝土造,89年3月31日,十一層,七層
RPPOMLKLLHMFFAT88CA,17,64.61,見其他登記事項,鋼筋混凝土造,89年3月31日,十一層,
RPQOMLKLLHMFFAT98CA,9,361.30,住家用,鋼筋混凝土造,97年1月17日,二層,一層 二層
RPTPMLMLLHMFFAT96CA,35,127.68,住家用,加強磚造,70年10月24日,二層,一層 二層 騎樓
RPQQMLMLLHMFFAT76CA,,220.89,住家用,鋼筋混凝土造,105年12月19日,四層,一層 二層 三層 四層
RPUNMLLLLHMFFAT86DA,35,109.91,住商用,鋼筋混凝土造,70年11月5日,二層,一層 二層 騎樓
RPQPMLLLLHMFFAT66DA,22,23.67,住家用,鋼筋混凝土造,83年11月4日,十三層,三層
RPQPMLLLLHMFFAT66DA,22,13.02,見其他登記事項,鋼筋混凝土造,83年11月4日,十三層,
RPROMLKLLHMFFCT76DA,23,150.88,住商用,鋼筋混凝土造,83年4月8日,三層,一層 二層 三層
RPQNMLMLLHMFFCT76DA,25,102.13,住家用,加強磚造,80年10月28日,二層,一層 二層
RPPNMLMLLHMFFDT76DA,50,135.42,住宅,鋼筋混凝土造,56年1月10日,二層,一層 二層 騎樓
RPVOMLKMLHMFFAT07DA,11,238.34,住家用,鋼筋混凝土造,95年2月10日,三層,一層 二層 三層 見其他登記事項
RPQNMLMLLHMFFET86CA,23,64.86,見其他登記事項,木造,83年8月2日,二層,一層 二層
RPQNMLMLLHMFFBT66DA,24,184.22,住商用,鋼筋混凝土造,82年5月31日,三層,一層 二層 三層 騎樓
RPWOMLMKMHMFFAT17CA,25,72.57,見其他登記事項,鋼筋混凝土造,81年2月13日,七層,七層
RPWOMLMKMHMFFAT17CA,25,45.44,見其他登記事項,鋼筋混凝土造,81年2月13日,,
RPWNMLNLLHMFFAT17CA,32,61.17,國民住宅,鋼筋混凝土造,73年10月13日,五層,一層
RPVPMLMLLHMFFAT17CA,,87.03,住家用,鋼筋混凝土造,105年12月12日,三層,一層 二層 三層
RPVPMLMLLHMFFAT17CA,,87.03,住家用,鋼筋混凝土造,105年12月12日,三層,一層 二層 三層
RPWNMLMLLHMFFAT07CA,25,94.13,住家用,鋼筋混凝土造,80年12月11日,七層,七層
RPWNMLMLLHMFFAT07CA,25,3.79,見其他登記事項,鋼筋混凝土造,80年12月11日,七層,
RPWNMLMLLHMFFAT07CA,25,5.88,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPWNMLMLLHMFFAT07CA,25,12.32,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPWNMLMLLHMFFAT07CA,25,2.95,共有部份,鋼筋混凝土造,80年12月11日,七層,
RPTOMLRJMHMFFCT47CA,30,111.78,住家用,加強磚造,76年2月14日,二層,一層 二層
RPRNMLRJMHMFFCT17CA,6,201.17,見使用執照,鋼筋混凝土造,99年12月30日,四層,一層 二層 三層 四層 見其他登記事項
RPSNMLNLLHMFFCT96CA,23,191.65,住家用,鋼筋混凝土造,83年1月5日,四層,一層 二層 三層 四層
RPUNMLNKMHMFFBT07CA,24,168.84,住家用,鋼筋混凝土造,82年4月8日,四層,一層 二層 三層 四層
RPUNMLMLLHMFFCT07CA,16,217.40,住家用,鋼筋混凝土造,90年5月16日,三層,一層 二層 三層
RPQNMLQJMHMFFCT96CA,21,72.02,住家用,鋼筋混凝土造,85年6月6日,十層,一層
RPQNMLQJMHMFFCT96CA,21,44.18,見其他登記事項,鋼筋混凝土造,85年6月6日,十層,
RPWOMLLMLHMFFCT37CA,1,186.17,住家用,見其他登記事項,104年11月16日,四層,一層 二層 三層 四層
RPQNMLOLLHMFFCT86CA,22,96.64,住家用,鋼筋混凝土造,83年11月9日,八層,八層 電梯樓梯間
RPQNMLOLLHMFFCT86CA,22,19.84,見其他登記事項,鋼筋混凝土造,83年11月9日,八層,
RPPNMLPLLHMFFCT86CA,1,230.48,住家用,見其他登記事項,105年5月16日,三層,一層 二層 三層
RPPQMLMLLHMFFAT66CA,,220.03,住家用,鋼筋混凝土造,105年12月19日,四層,一層 二層 三層 四層
RPVPMLNLLHMFFAT27CA,23,69.16,見其他登記事項,鋼筋混凝土造,83年6月22日,十一層,七層
RPVPMLNLLHMFFAT27CA,23,26.50,見其他登記事項,鋼筋混凝土造,83年6月22日,十一層,
RPWPMLNLLHMFFAT37CA,34,116.00,住商用,鋼筋混凝土造,71年8月26日,二層,一層 二層 屋頂突出物
RPQOMLKMLHMFFAT09CA,22,135.42,住家用,鋼筋混凝土造,83年11月23日,三層,一層 二層 三層
RPPNMLRLLHMFFFT37CA,37,66.70,住家用,加強磚造,68年9月27日,二層,一層 二層
RPSNMLOKMHMFFDT17CA,22,82.11,住宅,鋼筋混凝土造,84年8月8日,十六層,十六層
RPSNMLOKMHMFFDT17CA,22,16.82,見其他登記事項,鋼筋混凝土造,84年8月8日,十六層,
RPQNMLRLLHMFFDT27CA,16,139.55,見其他登記事項,加強磚造,89年9月14日,二層,一層 二層
RPUNMLRLLHMFFDT67CA,36,148.03,住商用,鋼筋混凝土造,70年7月1日,四層,
RPWNMLNLLHMFFDT47CA,3,214.98,住家用,鋼筋混凝土構造,103年7月1日,三層,一層 二層 三層
RPWOMLNKMHMFFCT47CA,20,86.44,住家用,鋼筋混凝土造,86年5月30日,十層,八層
RPWOMLNKMHMFFCT47CA,20,41.34,見其他登記事項,鋼筋混凝土造,86年5月30日,十層,
RPQNMLLKMHMFFCT56CA,24,127.96,住家用,加強磚造,81年12月6日,二層,一層 二層
RPUNMLTKMHMFFCT77CA,34,117.70,住家用,加強磚造,72年3月3日,二層,一層 二層
RPPOMLTKMHMFFCT37CA,23,56.49,住家用,鋼筋混凝土造,83年1月20日,八層,六層
RPPOMLTKMHMFFCT37CA,23,14.29,見其他登記事項,鋼筋混凝土造,83年1月20日,八層,
RPQNMLNLLHMFFET07DA,22,46.82,住家用,鋼筋混凝土造,84年7月10日,四層,一層
RPQNMLNLLHMFFET07DA,22,38.09,共用部份,鋼筋混凝土造,84年7月10日,四層,
RPPNMLPLLHMFFDT96CA,23,117.34,見其他登記事項,鋼筋混凝土造,83年6月25日,五層,三層
RPPNMLPLLHMFFDT96CA,23,33.45,見其他登記事項,鋼筋混凝土造,83年6月25日,,
RPPNMLRLLHMFFDT17CA,42,90.00,住家用,鋼筋混凝土造,64年6月19日,二層,一層 二層 騎樓
RPQNMLKMLHMFFDT66CA,40,225.80,住商用,鋼筋混凝土造,66年3月22日,四層,一層 二層 三層 四層 騎樓 夾層
RPRNMLRLLHMFFDT37CA,36,144.20,,鋼筋混凝土造,70年7月13日,三層,一層 二層 三層 騎樓
