鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
安平區,房地(土地+建物)+車位,臺南市安平區健康三街151~180號,14.51,住,,,1060317,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0950822,142.66,3,2,1,有,有,無,17000,119,坡道平面,0.0,0,,RPSOMLMLLHMFFAD97CC
安南區,房地(土地+建物),臺南市安南區安吉路一段31~60號,418.32,住,,,1060321,土地2建物3車位0,一層,1,店面(店鋪),商業用,鋼筋混凝土造,1051130,271.45,0,0,0,無,無,無,90000,332,,0.0,0,,RPQNMLOLLHMFFBD97CC
善化區,房地(土地+建物),臺南市善化區光復路181~210號,343.0,住,,,1060324,土地1建物1車位0,全,3,透天厝,住商用,鋼骨鋼筋混凝土造,0920916,397.11,5,3,3,有,無,無,20000,50,,0.0,0,,RPTNMLOLLHMFFER37CC
東區,建物,臺南市東區榮譽街123巷1弄1~30號,0.0,住,,,1060201,土地0建物1車位1,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0880114,48.75,1,0,1,有,有,有,10000,205,坡道機械,4.94,0,,RPRPMLOLLHMFFCD38CC
東區,房地(土地+建物),臺南市東區中華東路二段151~180號,3.17,其他,,,1060201,土地1建物1車位0,五層,14,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0970229,59.989999999999995,1,0,1,有,有,有,8000,133,,0.0,0,,RPUPMLOLLHMFFCD68CC
永康區,建物,臺南市永康區國華街102巷61~90號,0.0,住,,,1060323,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831006,105.82,3,2,2,有,有,有,14000,132,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租金已包含車位,RPRNMLOLLHMFFHR47CC
新市區,房地(土地+建物),臺南市新市區社內181~210號,3097.0,其他,,,1060320,土地1建物1車位0,見其他登記事項,2,農舍,農舍,見其他登記事項,0860811,206.64,0,0,0,無,無,有,88000,,,0.0,0,,RPPNMLPLLHMFFER07CC
中西區,建物,臺南市中西區慶中街1~30號,28.42,住,,,1060310,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750808,153.06,4,2,2,有,有,有,15000,98,,0.0,0,,RPPNMLPLLHMFFAD87CC
安平區,建物,臺南市安平區育平三街61~90號,0.0,,,,1060318,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820824,127.98,3,2,2,有,有,無,13000,102,,0.0,0,,RPQOMLSLLHMFFAD38CC
北區,建物,臺南市北區中華北路二段1~30號,0.0,,,,1060319,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土構造,0780830,288.78,4,1,4,有,無,無,20000,69,,0.0,0,,RPROMLSLLHMFFAD48CC
