編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPPMLNJNHMFFGF68EA,11,.15,見其他登記事項,鋼筋混凝土造,94年8月24日,十層,一層
RPPPMLNJNHMFFGF68EA,11,29.96,共有部分,鋼筋混凝土造,94年8月24日,十層,
RPPPMLNJNHMFFGF68EA,11,6.52,共有部分,鋼筋混凝土造,94年8月24日,十層,
RPPPMLNJNHMFFGF68EA,11,38.28,共有部分,鋼筋混凝土造,94年8月24日,十層,
RPOOMLRLLHMFFHF98EA,11,107.75,住家用,鋼筋混凝土造,95年2月21日,十五層,五層
RPOOMLRLLHMFFHF98EA,11,49.01,共有部分,鋼筋混凝土造,95年2月21日,十五層,
RPOOMLRLLHMFFHF98EA,11,18.45,共有部分,鋼筋混凝土造,95年2月21日,十五層,
RPVOMLRLLHMFFHF07EA,37,70.67,住家用,鋼筋混凝土造,69年9月2日,五層,一層 平台
RPQOMLRLLHMFFBF38CA,28,134.65,住家用,鋼筋混凝土造,78年4月29日,五層,一層 二層 夾層
RPQOMLRLLHMFFBF38CA,28,1.42,共有部分,鋼筋混凝土造,78年4月29日,五層,
RPQOMLRLLHMFFBF38CA,28,11.52,共有部分,鋼筋混凝土造,78年1月26日,五層,
RPTOMLRLLHMFFBF68CA,11,92.34,住家用,鋼筋混凝土造,95年7月5日,十二層,九層
RPTOMLRLLHMFFBF68CA,11,50.86,共有部分,鋼筋混凝土造,95年7月5日,十二層,
RPTOMLRLLHMFFBF68CA,11,12.66,共有部分,鋼筋混凝土造,95年7月5日,十二層,
RPVOMLRLLHMFFBF88CA,9,98.41,住家用,鋼筋混凝土造,97年7月29日,十九層,八層
RPVOMLRLLHMFFBF88CA,9,4.05,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPVOMLRLLHMFFBF88CA,9,4.67,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPVOMLRLLHMFFBF88CA,9,39.18,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPVOMLRLLHMFFBF88CA,9,1.82,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPVOMLRLLHMFFBF88CA,9,7.12,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPVOMLRLLHMFFBF88CA,9,30.16,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPOOMLTKMHMFFAF28CA,24,23.01,住家用,鋼筋混凝土造,82年7月29日,七層,六層
RPOOMLTKMHMFFAF28CA,24,8.10,共有部份,鋼筋混凝土造,82年7月29日,七層,
RPPPMLNKMHMFFAF87CA,,100.09,住家用,鋼筋混凝土造,,五層,五層 陽台
RPXPMLNKMHMFFAF68CA,31,93.20,住家用,鋼筋混凝土造,74年9月26日,五層,四層
RPXPMLNKMHMFFAF68CA,31,9.78,共有部份,鋼筋混凝土造,74年9月26日,五層,
RPWPMLMKMHMFFAF48CA,,66.06,見其他登記事項,鋼筋混凝土造,105年11月18日,十層,五層
RPWPMLMKMHMFFAF48CA,,72.95,見其他登記事項,鋼筋混凝土造,105年11月18日,十層,
RPURMLQJMHMFFAF78CA,20,101.46,住家用,鋼筋混凝土造,85年11月16日,十八層,十四層
RPURMLQJMHMFFAF78CA,20,7.82,共有部份,鋼筋混凝土造,85年11月16日,十八層,
RPURMLQJMHMFFAF78CA,20,16.46,共有部份,鋼筋混凝土造,85年11月16日,十八層,
RPOROLLKMHMFFAF97CA,9,215.75,停車空間,鋼筋混凝土造,96年10月2日,十五層,地下一層 地下二層
RPOROLLKMHMFFAF97CA,9,267.63,共有部份,鋼筋混凝土造,96年10月2日,十五層,
RPOROLLKMHMFFAF97CA,9,4.05,共有部份,鋼筋混凝土造,96年10月2日,十五層,
RPTSOLLKMHMFFAF58CA,,61.00,住家用,鋼筋混凝土造,,五層,陽台 五層
RPVNMLRLLHMFFAF68CA,,80.96,住家用,加強磚造,,四層,一層
RPRQMLOLLHMFFAF28CA,19,110.94,住家用,鋼筋混凝土造,87年1月23日,九層,七層
RPRQMLOLLHMFFAF28CA,19,1.98,見其他登記事項,鋼筋混凝土造,87年1月23日,九層,
RPRQMLOLLHMFFAF28CA,19,19.90,共有部份,鋼筋混凝土造,87年1月23日,九層,
RPRQMLOLLHMFFAF28CA,19,42.71,共有部份,鋼筋混凝土造,87年1月23日,九層,
RPSQMLOLLHMFFAF38CA,22,108.01,住家用,鋼筋混凝土造,83年12月8日,十四層,十四層
RPSQMLOLLHMFFAF38CA,22,8.72,共有部份,鋼筋混凝土造,83年12月8日,十五層,
RPSQMLOLLHMFFAF38CA,22,45.66,共有部份,鋼筋混凝土造,83年12月8日,十五層,
RPSQMLOLLHMFFAF38CA,22,3.13,商業用,鋼筋混凝土造,83年12月8日,十五層,地下一層
RPSQMLOLLHMFFAF38CA,22,.00,共有部份,鋼筋混凝土造,83年12月8日,十五層,
RPQNMLPLLHMFFAF97CA,38,100.42,住家用,鋼筋混凝土造,67年12月28日,四層,四層 陽台
RPTNMLSLLHMFFAF58CA,23,88.78,住家用,鋼筋混凝土造,83年4月21日,十層,八層
RPTNMLSLLHMFFAF58CA,23,16.12,共有部份,鋼筋混凝土造,83年4月21日,十層,
