鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
屏東巿,房地(土地+建物),屏東縣屏東市廣東路1531~1560號,32.62,住,,,1051210,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0841201,115.84,4,0,2,有,無,無,12000,104,,0.0,0,,RPPOMLKMKILFFAT09CC
屏東巿,房地(土地+建物),屏東縣屏東市公安街61~90號,47.0,住,,,1060123,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0650709,81.0,3,1,2,有,無,無,6500,80,,0.0,0,,RPWNMLRJKHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市信義路271~300號,95.0,住,,,1060203,土地3建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0670905,191.76,0,0,0,無,無,無,15000,78,,0.0,0,,RPWNMLRKKHMFFAT57CC
屏東巿,房地(土地+建物),屏東縣屏東市永福路31~60號,76.0,商,,,1060216,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0800608,99.68,0,0,0,無,無,無,60000,602,,0.0,0,租賃層次1+2樓,RPUPMLNJLHMFFAT17CC
屏東巿,房地(土地+建物),屏東縣屏東市華正路211~240號,79.0,住,,,1060309,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0670712,108.0,0,0,0,無,無,無,13000,120,,0.0,0,,RPXNMLOKLHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市仁愛路61~90號,147.0,商,,,1060307,土地1建物1車位0,全,2,透天厝,商業用,鋼筋混凝土造,0840601,265.15,0,0,0,無,無,無,68182,257,,0.0,0,,RPVNMLQKLHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市公園路31~60號,121.0,住,,,1060317,土地2建物1車位0,一層,1,店面(店鋪),見其他登記事項,見其他登記事項,0850703,107.61,0,0,0,無,無,有,75000,697,,0.0,0,,RPSOMLRLLHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市民生路61~90號,84.0,住,,,1060302,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0650515,39.57,0,0,0,無,無,無,13000,329,,0.0,0,,RPSNMLSLLHMFFAT47CC
屏東巿,房地(土地+建物),屏東縣屏東市民生路271~300號,69.0,商,,,1060317,土地2建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,,51.06,0,0,0,無,無,無,32000,627,,0.0,0,,RPTNMLSLLHMFFAT57CC
