編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXNMLSKMHMFFDQ77CA,36,62.34,住家用,鋼筋混凝土加強磚造,70年6月5日,一層,一層
RPQNMLSJMHMFFDQ96CA,36,110.53,住商用,鋼筋混凝土加強磚造,70年2月25日,二層,一層 二層 騎樓
RPSNMLNLLHMFFCQ86EA,19,145.13,見其他登記事項,鋼筋混凝土造,87年3月30日,三層,一層 二層 三層 屋頂突出物
RPXNMLSLLHMFFEQ97DA,22,195.29,住家用,鋼筋混凝土造,84年2月3日,四層,一層 二層 三層 四層 騎樓
RPXNMLSLLHMFFEQ97DA,22,.36,住家用,鋼筋混凝土造,84年2月3日,一層,一層 騎樓
RPQNMLOLLHMFFCQ66DA,22,178.39,住商用,鋼筋混凝土造,84年2月17日,三層,一層 二層 三層 電梯樓梯間 夾層
RPRNMLNLLHMFFBQ09CA,18,236.47,住家用,鋼筋混凝土加強磚造,88年6月9日,三層,一層 二層
RPSNMLNLLHMFFBQ56CA,37,105.68,住家用,鋼筋混凝土加強磚造,69年4月18日,二層,一層 二層
RPPNMLPLLHMFFCQ56CA,24,101.23,住家用,鋼筋混凝土造,81年11月30日,五層,五層
RPPNMLPLLHMFFCQ56CA,24,10.16,共有部份,鋼筋混凝土造,81年11月30日,地下層,
RPPNMLPLLHMFFCQ56CA,24,6.94,共有部份,鋼筋混凝土造,81年11月30日,五層,
RPPNMLOLLHMFFCQ09CA,15,102.88,見其他登記事項,鋼筋混凝土造,91年7月25日,五層,五層
RPPNMLNKMHMFFCQ98CA,1,243.29,住家用,鋼筋混凝土造,105年6月16日,四層,一層 二層 三層 四層
RPQNMLNKMHMFFCQ09CA,1,243.29,住家用,鋼筋混凝土造,105年6月16日,四層,一層 二層 三層 四層
RPVOMLNKMHMFFCQ07CA,12,152.26,住家用,鋼筋混凝土造,94年8月31日,三層,一層 二層 三層 電梯樓梯間
RPROMLOKMHMFFCQ76CA,,196.31,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPSOMLOKMHMFFCQ86CA,,196.31,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPTOMLOKMHMFFCQ96CA,,196.31,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPTNMLSJMHMFFCQ17CA,40,55.59,住家用,鋼筋混凝土加強磚造,66年8月15日,一層,一層
RPRNMLKKMHMFFCQ88CA,23,149.50,住家用,鋼筋混凝土造,83年2月8日,三層,一層 二層 三層 電梯樓梯間
RPOOMLKMLHMFFCQ78CA,2,172.82,見其他登記事項,鋼筋混凝土造,103年10月2日,三層,一層 二層 三層 見其他登記事項
RPQOMLKMLHMFFCQ98CA,21,1082.69,見其他登記事項,鋼造,85年1月31日,一層,一層
RPRNMLRLLHMFFCQ96CA,36,169.65,住家用,鋼筋混凝土加強磚造,69年10月27日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPRNMLTLLHMFFBQ07CA,27,131.85,住商用,鋼筋混凝土造,79年2月12日,三層,一層 二層 三層 騎樓
RPSNMLSKMHMFFBQ07CA,9,250.36,見其他登記事項,鋼筋混凝土造,96年9月10日,五層,一層 二層 三層 四層 五層 地下一層
RPSNMLSKMHMFFBQ07CA,9,26.99,共有部份,鋼筋混凝土造,96年9月10日,五層,
RPWNMLRJMHMFFDQ57DA,,305.68,住家用,鋼筋混凝土造,105年11月11日,三層,一層 二層 三層 見其他登記事項
RPQOMLRJMHMFFDQ07DA,,225.91,住家用,鋼筋混凝土造,105年11月11日,三層,一層 二層 三層 見其他登記事項
RPXNMLRLLHMFFCQ67DA,24,145.62,住家用,鋼筋混凝土造,82年9月1日,三層,一層 二層 三層 電梯樓梯間
RPOPMLNKMHMFFDQ56CA,8,190.21,住家用,鋼筋混凝土造,97年11月13日,三層,一層 二層 三層
RPTNMLKMLHMFFEQ76CA,24,38.68,住家用,鋼筋混凝土造,82年4月1日,十八層,二層
RPTNMLKMLHMFFEQ76CA,24,7.68,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
RPTNMLKMLHMFFEQ76CA,24,1.75,見其他登記事項,鋼筋混凝土造,82年4月1日,,
RPWNMLKLMHMFFDQ96CA,49,68.60,住家用,見其他登記事項,57年6月1日,一層,一層
RPRNMLSJMHMFFDQ07CA,3,175.11,見其他登記事項,鋼筋混凝土造,102年9月9日,三層,一層 二層 三層 見其他登記事項
RPWNMLSKMHMFFDQ67CA,24,173.58,住家用,鋼筋混凝土造,81年11月26日,三層,一層 二層 三層
