編號,車位類別,車位價格,車位面積平方公尺
RPOPMLOKMHMFFAB47CA,坡道平面,0,
RPUOMLKLLHMFFBB67CA,坡道平面,0,
RPVOMLKLLHMFFBB77CA,坡道平面,850000,23.72
RPWOMLKLLHMFFBB87CA,坡道機械,0,15.55
RPWOMLKLLHMFFBB87CA,坡道平面,0,23.72
RPXOMLKLLHMFFBB97CA,坡道平面,800000,23.72
RPPPMLKLLHMFFBB27CA,坡道平面,0,23.72
RPPPMLKLLHMFFBB27CA,坡道平面,0,23.72
RPVOMLQJMHMFFCB38CA,坡道平面,800000,
RPPSMLQJMHMFFCB18CA,坡道機械,0,
RPOOMLTLLHMFFCB08CA,坡道平面,1300000,
RPSPMLRLLHMFFCB38CA,坡道機械,0,11.78
RPVNMLLMLHMFFCB97CA,坡道平面,0,29.95
RPVNMLLMLHMFFCB97CA,坡道平面,0,25.84
RPPOMLLMLHMFFCB47CA,坡道平面,0,
RPPOMLLMLHMFFCB47CA,坡道機械,0,
RPWNMLNLLHMFFCB18CA,坡道機械,0,
RPWNMLNLLHMFFCB18CA,坡道機械,0,
RPSNMLMLLHMFFCB67CA,坡道機械,0,
RPUNMLMLLHMFFCB87CA,坡道平面,0,
RPQQMLKLLHMFFCB57CA,坡道平面,0,21.95
RPRPMLKLLHMFFCB57CA,坡道平面,1000000,27.12
RPOOMLKLLHMFFCB17CA,坡道平面,0,
RPOOMLKLLHMFFCB17CA,坡道平面,0,
RPROMLKLLHMFFCB47CA,坡道平面,0,32.40
RPSOMLKLLHMFFCB57CA,坡道平面,0,32.40
RPPNMLOKMHMFFCB57CA,坡道平面,0,
RPXNMLKLLHMFFAL78CA,坡道機械,0,
RPUNMLRKLHMFFAL09CA,一樓平面,0,
RPOTMLMKMHMFFCB87CA,坡道機械,0,
RPWPMLLKMHMFFCB18CA,坡道平面,0,37.39
RPVPMLOKMHMFFCB38CA,坡道平面,0,
RPVPMLOKMHMFFCB38CA,坡道平面,0,
RPXPMLOKMHMFFCB58CA,坡道平面,0,15.00
RPUOMLSKMHMFFCB58CA,坡道平面,1350000,29.75
RPPOMLTKMHMFFCB18CA,坡道平面,0,14.78
RPPOMLTKMHMFFCB18CA,坡道平面,0,14.78
RPUQMLLLLHMFFCB08CA,坡道機械,0,
RPUQMLLLLHMFFCB08CA,坡道機械,0,
