編號,車位類別,車位價格,車位面積平方公尺
RPXOMLSLLHMFFBH76CA,坡道平面,1050000,32.24
RPXRMLSLLHMFFBH07CA,坡道平面,0,32.24
RPXRMLSLLHMFFBH07CA,坡道平面,0,32.24
RPOSMLSLLHMFFBH88CA,坡道平面,950000,32.24
RPWNMLTLLHMFFBH66CA,坡道平面,0,
RPSPMLLMLHMFFBH38CA,坡道平面,0,18.15
RPPQMLLMLHMFFBH18CA,坡道平面,1000000,31.78
RPVRMLQJMHMFFBH56CA,坡道平面,0,
RPRPMLRJMHMFFBH68CA,坡道平面,800000,29.62
RPSPMLRJMHMFFBH78CA,坡道平面,700000,29.62
RPUNMLRJMHMFFCH88CA,坡道平面,1000000,42.61
RPWNMLTJMHMFFCH66CA,坡道平面,0,
RPOPMLRKLHMFFDH58CA,一樓平面,0,
RPXOMLQKLHMFFEH76CA,坡道平面,0,
RPXOMLRKLHMFFEH86CA,坡道平面,0,
RPOPMLRKLHMFFEH68CA,坡道平面,0,
RPXNMLTLLHMFFEH07CA,坡道平面,1300000,30.07
RPQOMLKMLHMFFEH28CA,坡道平面,1400000,31.67
RPSOMLKMLHMFFEH48CA,坡道平面,1300000,31.67
RPTOMLKMLHMFFEH58CA,坡道平面,1300000,31.67
RPUOMLKMLHMFFEH68CA,坡道平面,1400000,31.67
RPVOMLKMLHMFFEH78CA,坡道平面,1400000,31.67
RPWOMLKMLHMFFEH88CA,坡道平面,1400000,31.67
RPTNMLTJMHMFFEH56CA,坡道平面,0,
RPTNMLTJMHMFFEH56CA,坡道平面,0,
RPTNMLTJMHMFFEH56CA,坡道平面,0,
RPTNMLTJMHMFFEH56CA,坡道平面,0,
RPVNMLTJMHMFFEH76CA,坡道平面,0,
RPVNMLTJMHMFFEH76CA,坡道平面,0,
RPXPMLLMLHMFFFH66CA,坡道平面,1350000,23.77
RPTPMLLMLHMFFFH88CA,坡道平面,1350000,33.75
RPUPMLLMLHMFFFH98CA,坡道平面,1200000,33.75
RPTRMLLMLHMFFFH09CA,坡道平面,1400000,23.45
RPRNMLLLLHMFFFH38CA,坡道平面,1200000,34.76
RPTNMLRJMHMFFEH98CA,坡道平面,0,
RPXPMLLMLHMFFEH56CA,坡道平面,1000000,46.10
RPPQMLLMLHMFFEH48CA,坡道平面,1150000,46.10
RPUNMLOLLHMFFEH88CA,坡道平面,1600000,47.18
RPWNMLOLLHMFFEH09CA,坡道平面,1420000,47.18
RPROMLOLLHMFFEH68CA,坡道平面,1460000,47.18
RPWNMLLLLHMFFEH78CA,坡道平面,0,
RPPNMLMLLHMFFEH18CA,坡道平面,1550000,41.49
RPPNMLMLLHMFFEH18CA,坡道平面,1600000,43.55
RPSNMLMLLHMFFEH48CA,坡道平面,1550000,41.49
RPRNMLNKMHMFFDH38CA,坡道平面,0,37.04
RPSNMLOKMHMFFCH48CA,坡道平面,0,31.25
RPUNMLSKLHMFFCH98CA,坡道平面,0,
RPUOMLMKMHMFFBH48CA,坡道平面,1000000,34.72
RPWOMLLMLHMFFBH68CA,坡道平面,0,
RPVSMLSLLHMFFBH96CA,坡道平面,1200000,25.85
RPOQMLSLLHMFFBH68CA,坡道平面,0,
RPOQMLSLLHMFFBH68CA,坡道平面,0,
RPOQMLSLLHMFFBH68CA,坡道平面,0,
RPQNMLLLLHMFFAH77CA,坡道平面,0,
RPTOMLKLLHMFFAH08CA,坡道平面,0,31.45
RPPOMLKLLHMFFAH67CA,坡道機械,0,
RPVOMLOLLHMFFBH78CA,坡道平面,0,
RPROMLKLLHMFFBH97CA,坡道平面,1400000,32.45
RPRNMLOLLHMFFGH78CA,坡道機械,0,
RPRNMLOLLHMFFGH78CA,坡道機械,0,
RPOOMLRJMHMFFFH68CA,坡道平面,1200000,33.15
RPOOMLMLLHMFFAH87DA,坡道平面,1400000,
RPRPMLKLLHMFFAH08DA,坡道平面,0,
RPRPMLKLLHMFFAH08DA,坡道平面,0,
RPXSMLKLLHMFFBH09DA,坡道平面,0,39.76
RPXSMLKLLHMFFBH09DA,坡道平面,0,39.76
RPXSMLKLLHMFFBH09DA,坡道平面,0,39.76
RPQOMLNLLHMFFBH28DA,坡道平面,0,35.71
RPWSMLRLLHMFFBH07DA,坡道平面,0,23.32
RPTNMLMLLHMFFHH88CA,坡道平面,0,
RPQPMLLMLHMFFFH68DA,坡道平面,0,47.08
RPOOMLPJMHMFFFH58DA,坡道平面,1000000,30.21
RPSOMLMLLHMFFEH68DA,坡道平面,1100000,37.95
RPXNMLOLLHMFFEH66DA,坡道平面,0,
RPUOMLRLLHMFFEH76DA,坡道平面,1200000,35.61
RPSOMLTJMHMFFCH98CA,坡道平面,0,
