鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
西區,房地(土地+建物),臺中市西區大墩十一街91~120號,47.63,住,,,1051231,土地1建物1車位0,見其它登記事項,2,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0820914,303.83,0,0,0,無,無,無,55000,181,,0.0,0,,RPOOMLLKJHMFFAB96CC
南屯區,房地(土地+建物),臺中市南屯區精科南路1~30號,5254.77,工,,,1051215,土地1建物2車位0,見其它登記事項,4,工廠,見其它登記事項,鋼筋混凝土造,1050719,12612.7,0,0,0,無,無,無,2050000,,,0.0,0,,RPPNMLLKJHMFFCB17CC
西屯區,房地(土地+建物),臺中市西屯區西屯路二段61~90號,91.0,住,,,1051223,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0670228,278.4,5,2,4,有,無,無,36720,132,,0.0,0,,RPVNMLMKJHMFFCB87CC
南區,建物,臺中市南區德富路91~120號,42.53,住,,,1060107,土地0建物1車位0,見其它登記事項,9,店面(店鋪),住商用,鋼筋混凝土造,0871219,256.92,0,0,0,無,有,無,40000,156,,0.0,0,,RPTPMLMKJHMFFAB67CC
北區,建物,臺中市北區中清路一段451~480號,72.0,商,,,1051219,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0561116,192.64,2,2,2,有,無,無,18000,93,,0.0,0,,RPVOMLQKJHMFFBB28CC
北屯區,建物,臺中市北屯區梅川西路四段271~300號,0.0,住,,,1051229,土地0建物3車位3,見其它登記事項,19,店面(店鋪),住商用,鋼筋混凝土造,0830906,446.9,1,4,3,有,有,無,70000,157,坡道平面,0.0,0,承租三個門牌，106/1/1-106/3/31裝修期，不收租金，車位面積無法分算,RPSPMLQKJHMFFBB08CC
西區,房地(土地+建物),臺中市西區向上路一段79巷1~30號,80.0,住,,,1051222,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0691020,246.45,3,3,2,有,無,無,38000,154,,0.0,0,,RPTPMLRKJHMFFAB18CC
太平區,房地(土地+建物),臺中市太平區宜昌路31~60號,95.87,住,,,1060116,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0780425,163.05,4,2,3,有,無,無,13000,80,,0.0,0,,RPQQMLSKJHMFFHL17CC
北區,建物,臺中市北區太平路1~30號,0.0,住,,,1060103,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土加強磚造,0570628,131.2,3,1,2,有,無,無,50000,381,,0.0,0,透天厝分租，106/2/5-106/3/4裝潢期不收取租金,RPQUMLKLJHMFFBB87CC
西屯區,房地(土地+建物),臺中市西屯區忠義街121~150號,74.51,住,,,1060117,土地1建物1車位0,見其它登記事項,2,店面(店鋪),住商用,鋼筋混凝土造,0831220,407.6,0,0,0,無,有,無,40000,98,,0.0,0,標的物一、二層,RPQOMLNLJHMFFCB67CC
太平區,房地(土地+建物),臺中市太平區中山路二段100巷51弄1~30號,83.94,,鄉村區,乙種建築用地,1060105,土地1建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0690920,128.35,3,2,2,有,無,無,10000,78,,0.0,0,,RPTNMLNLJHMFFHL76CC
潭子區,房地(土地+建物),臺中市潭子區頭張路二段89巷31~60號,119.07,住,,,1051226,土地1建物1車位0,全,4,透天厝,住商用,加強磚造,0690315,153.96,0,0,0,無,無,無,22000,143,,0.0,0,,RPQNMLNLJHMFFFL98DC
南屯區,房地(土地+建物),臺中市南屯區工業18路1~30號,1980.0,工,,,1060123,土地2建物1車位0,見其它登記事項,1,其他,工業用,加強磚造,0711022,904.19,0,0,0,無,無,無,270000,299,,0.0,0,,RPQPMLOLJHMFFCB87CC
南屯區,房地(土地+建物),臺中市南屯區興路二段331~360號,88.0,住,,,1060106,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0751223,288.7,5,3,7,有,無,有,52000,180,,0.0,0,,RPORMLNJKHMFFCB67CC
西區,建物,臺中市西區貴和街1~30號,0.0,住,,,1060125,土地0建物1車位0,全,3,透天厝,住家用,見其它登記事項,0600918,178.88,4,3,3,有,無,無,18000,101,,0.0,0,,RPOPMLQJKHMFFAB57CC
太平區,房地(土地+建物),臺中市太平區新福路91~120號,91.21,住,,,1060118,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950314,97.2,4,3,3,有,無,有,7000,72,,0.0,0,只承租牆面吊掛帆布廣告,RPQNMLQJKHMFFHL66CC
西區,建物,臺中市西區三民西路61~90號,0.0,商,,,1060120,土地0建物2車位2,見其它登記事項,15,店面(店鋪),見其它登記事項,鋼筋混凝土造,1041214,319.22,0,2,3,有,有,無,79464,249,坡道平面,46.66,0,承租兩個門牌,RPPNMLRJKHMFFAB57CC
大里區,房地(土地+建物),臺中市大里區國光路一段31~60號,90.21,工,,,1060125,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,,301.02,0,0,0,無,無,無,32000,106,,0.0,0,,RPOOMLKKKHMFFGL68DC
太平區,房地(土地+建物),臺中市太平區永成北路151~180號,36.45,住,,,1060129,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0810526,179.66,4,2,3,有,有,無,20000,111,,0.0,0,,RPQNMLNKKHMFFHL56DC
南屯區,房地(土地+建物),臺中市南屯區寶山五街1~30號,20.54,住,,,1060124,土地1建物1車位0,見其它登記事項,12,其他,住商用,鋼筋混凝土造,0831007,222.54,3,2,3,有,有,無,17000,76,,0.0,0,,RPWNMLQKKHMFFCB48CC
西區,建物,臺中市西區民權路361~390號,36.42,住,,,1060120,土地0建物1車位0,見其它登記事項,7,店面(店鋪),商業用,鋼筋混凝土造,0711201,147.09,0,0,0,無,無,無,32000,218,,0.0,0,租賃範圍不含車位，且無法區分車位面積。,RPSOMLRKKHMFFAB08CC
潭子區,房地(土地+建物),臺中市潭子區潭興路二段1~30號,80.23,,特定農業區,甲種建築用地,1060211,土地2建物1車位0,全,2,透天厝,見其他登記事項,加強磚造,0680212,89.3,3,2,2,有,無,無,15000,168,,0.0,0,,RPPNMLSJLHMFFFL66CC
大肚區,房地(土地+建物),臺中市大肚區遊園路一段3巷2弄1~30號,63.18,,一般農業區,丙種建築用地,1060222,土地1建物1車位0,全,1,透天厝,住家用,加強磚造,0710802,48.84,4,2,1,有,無,有,9000,184,,0.0,0,,RPTNMLNKLHMFFIL96CC
大里區,房地(土地+建物),臺中市大里區德芳路一段181~210號,122.0,住,,,1060303,土地1建物1車位0,全,2,透天厝,見其他登記事項,鋼筋混凝土造,0741005,115.21,5,0,3,有,無,有,30000,260,,0.0,0,,RPUNMLPKLHMFFGL07CC
西區,房地(土地+建物),臺中市西區三民路一段50巷1~30號,4.68,住,,,1060310,土地1建物1車位0,十一層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,59.81,2,1,1,有,有,有,9000,150,,0.0,0,,RPSOMLQKLHMFFAB18DC
