編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLKKMHMFFDP66CA,,151.06,見其他登記事項,鋼筋混凝土造,105年10月31日,三層,一層 二層 三層 見其他登記事項
RPTNMLLMLHMFFDP66CA,10,165.06,住家用,鋼筋混凝土造,96年5月31日,三層,一層 二層 三層 電梯樓梯間
RPQOMLLKMHMFFEP09CA,1,215.73,住家用,鋼筋混凝土造,104年9月15日,四層,一層 二層 三層 四層 騎樓
RPPNMLMLLHMFFBP78DA,36,96.00,住家用,鋼筋混凝土加強磚造,70年4月30日,二層,一層 二層
RPPNMLMLLHMFFAP58CA,21,177.77,住家用,鋼筋混凝土造,84年8月25日,三層,一層 二層 三層 電梯樓梯間
RPQNMLMLLHMFFAP68CA,,176.58,住家用,鋼筋混凝土造,105年9月23日,四層,一層 二層 三層 四層
RPQNMLOLLHMFFAP88CA,18,177.02,住家用,鋼筋混凝土造,87年11月15日,三層,一層 二層 三層 電梯樓梯間
RPRNMLOLLHMFFAP98CA,24,75.37,住家用,鋼筋混凝土造,82年5月7日,四層,二層
RPRNMLOLLHMFFAP98CA,24,10.84,共同部份,鋼筋混凝土造,82年5月7日,四層,
RPROMLNLLHMFFAP98CA,24,80.16,住家用,鋼筋混凝土造,82年1月15日,六層,一層
RPROMLNLLHMFFAP98CA,24,31.46,共同部份,鋼筋混凝土造,82年1月15日,六層,
RPSNMLMLLHMFFAP88CA,24,171.72,住家用,鋼筋混凝土造,82年7月21日,四層,一層 二層 三層 四層 電梯樓梯間
RPSNMLMLLHMFFAP88CA,24,3.17,住家用,鋼筋混凝土造,82年7月25日,二層,一層 二層 電梯樓梯間
RPPNMLMLLHMFFCP78CA,22,203.76,住家用,鋼筋混凝土造,83年10月17日,三層,一層 二層 三層 電梯樓梯間 夾層
RPWNMLNLLHMFFAP86DA,23,88.17,住家用,鋼筋混凝土造,83年1月5日,十一層,四層
RPWNMLNLLHMFFAP86DA,23,13.11,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPWNMLNLLHMFFAP86DA,23,10.38,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPWNMLNLLHMFFAP86DA,23,8.86,停車空間,鋼筋混凝土造,83年1月5日,十一層,地下層
RPWNMLSLLHMFFEP67CA,4,190.52,住家用,鋼筋混凝土造,101年11月28日,三層,一層 二層 三層 見其他登記事項
RPWOMLKLMHMFFDP96CA,24,210.99,住家用,鋼筋混凝土造,82年4月17日,三層,一層 二層 三層 電梯樓梯間
RPSNMLNJNHMFFDP66CA,23,20.98,住家用,鋼筋混凝土造,83年6月14日,九層,四層
RPSNMLNJNHMFFDP66CA,23,8.45,共有部份,鋼筋混凝土造,83年6月14日,九層,
RPPNMLQJMHMFFFP76CA,16,62.05,住家用,鋼筋混凝土造,90年4月9日,九層,三層
RPPNMLQJMHMFFFP76CA,16,38.98,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPPNMLQJMHMFFFP76CA,16,2.28,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPPNMLQJMHMFFFP76CA,16,8.35,見其他登記事項,鋼筋混凝土造,90年4月9日,九層,
RPRNMLQJMHMFFFP96CA,1,135.18,見其他登記事項,鋼筋混凝土造,104年10月25日,二層,一層 二層 屋頂突出物
RPQNMLKMLHMFFFP09CA,1,181.89,見其他登記事項,鋼筋混凝土造,104年10月25日,二層,一層 二層 屋頂突出物
RPQNMLMLLHMFFCP98DA,43,113.52,住商用,加強磚造,62年12月15日,二層,一層 二層
RPWNMLNLLHMFFDP07CA,24,168.83,住家用,鋼筋混凝土造,82年2月24日,三層,一層 二層 三層 電梯樓梯間
RPPNMLOLLHMFFDP09CA,23,65.63,住家用,鋼筋混凝土造,83年4月9日,八層,七層
RPPNMLOLLHMFFDP09CA,23,30.25,共有部份,鋼筋混凝土造,83年4月9日,八層,
RPWNMLMLLHMFFAP66CA,13,176.46,住家用,鋼筋混凝土造,93年2月10日,三層,一層 二層 三層 電梯樓梯間
RPPNMLNLLHMFFAP68CA,23,88.44,住家用,鋼筋混凝土造,83年1月5日,十一層,九層
